Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
"Belgium-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Belgium,ECA,Europe and Central Asia,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"Countries of the European Union are subjected to the CSRD, which is aligned with the TFCD. The CSRD went into effect in 2023, with a different timeline of implementation for different types of public companies.

Example : The Bpost group 2022 Integrated Annual Report includes recommended TCFD disclosures .
https://bpostgroup.com/sustainability/reporting",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,1.0,
Belgium-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Belgium,ECA,Europe and Central Asia,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a)	Yes, for instance, the study on climate change impacts and risks conducted for the Region of Brussels https://environnement.brussels/citoyen/outils-et-donnees/etat-des-lieux-de-lenvironnement/climat-etat-des-lieux#les-vulnerabilites-de-la-rbc-face-aux-changements-climatiques

b)	Yes, Air Climate Energy Plans are mandatory of inter-municipalities of more than 20 000 inhabitants. Example : the “Air Climate Energy Plan” (PACE 2030) of the Government of Wallonie. https://energie.wallonie.be/servlet/Repository/pace-2030-02_03_2024.pdf?ID=73812
",,1.0,
Belgium-Climate change framework law,Belgium,ECA,Europe and Central Asia,High income,Climate change framework law,Governance,CC law,Yes,The Co-operation Agreement on the National Climate Plan and the National Climate Plan,,1.0,
Belgium-National adaptation plan,Belgium,ECA,Europe and Central Asia,High income,National adaptation plan,Governance,NAP,Yes,Federal Adaptation Measures 2023-2028,https://www.adapt2climate.be/wp-content/uploads/2023/03/Naar-een-klimaatbestendige-samenleving-in-2050-federale-adaptatiemaatregelen-2023-2026.pdf,1.0,
Belgium-Long-term strategy,Belgium,ECA,Europe and Central Asia,High income,Long-term strategy,Governance,LTS,Yes,UNFCCC,https://unfccc.int/process/the-paris-agreement/long-term-strategies,1.0,
Belgium-Does the country include environmental criteria in procurement tenders? Give one example,Belgium,ECA,Europe and Central Asia,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The revised Energy Efficiency Directive (EU/2023/1791) establishes ‘energy efficiency first’ as a fundamental principle of EU energy policy, giving it legal-standing. Energy efficiency must be considered by EU countries in all relevant policy and major investment decisions taken in the energy and non-energy sectors.

The revised directive entered into force on 10 October 2023.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,1.0,
Belize-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,The National Climate Change Office coordinates climate policy in Belize since 2015.,https://sustainabledevelopment.gov.bz/national-climate-change-office/,1.0,
Belize-Does the national government (or other body) publish climate risk information covering all local government units?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The National Climate Change Office administers the Climate Risk Information System (CRIS) for Belize. However, climate risk information covering the entire territory was not available.

However, the Caribbean Institute for Meteorology and Hydrology has an Advanced Flood Forecasting Project that includes the Belize territory.",https://cris.ub.edu.bz/climate-risk/risk-vulnerabilities; https://affp.cimh.edu.bb/,1.0,
Belize-Do fiscal risk statements identify climate change-related risks?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,No fiscal risk statements were found.,,0.0,
Belize-Is climate change reflected in the budget guidelines?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Budget Speech 2024 mentions climate change action and resilience projects and goals.,https://www.pressoffice.gov.bz/wp-content/uploads/2024/03/Budget-Speech-2024-Final-Rev2-Mar-7-2024-400-PM.pdf,1.0,
Belize-Are climate-related expenditures identified in the budget and/or tracked?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,The Draft Estimates of Revenue and Expenditure mentions multiple climate change action projects under different ministries but does not use a climate tagging system.,https://mof.gov.bz/wp-content/uploads/2024/03/DRAFT-ESTIMATES-OF-REVENUE-AND-EXPENDITURE-FOR-FISCAL-YEAR-2024-25-NO.2.pdf,0.0,
"Belize-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Belize,LAC,Latin America and the Caribbean,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,No evidence of screening or EIA that considers climate change.,https://doe.gov.bz/eias/,0.0,
"Belize-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Belize,LAC,Latin America and the Caribbean,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory requirement. No SOEs were found to publish TCFD-aligned requirements.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Belize-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Both the Belize City and Belmopan climate strategies and assessments are over 5 years old.,https://www.belizecitycouncil.org/uploads/master-plan-docs/12057-Annex_08_Flood_Mitigation_and_Drainage_Strategy.pdf,0.0,
Belize-Climate change framework law,Belize,LAC,Latin America and the Caribbean,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Belize-National adaptation plan,Belize,LAC,Latin America and the Caribbean,Upper-middle income,National adaptation plan,Governance,NAP,No,Work in progress https://unfccc.int/sites/default/files/NDC/2022-06/Belize%20Updated%20NDC.pdf and there is this document There is this document https://production-new-commonwealth-files.s3.eu-west-2.amazonaws.com/migrated/inline/Climate_Finance_Strategy_of_Belize_UPDF.pdf,,0.0,
